author,chapter,sentence,title
Jane Austen,Chapter 1,"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""In such cases, a woman has not often much beauty to think of.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""It is more than I engage for, I assure you.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""But consider your daughters.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,Only think what an establishment it would be for one of them.,PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"Sir William and Lady Lucas are determined to go, merely on that account, for in general, you know, they visit no newcomers.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"Indeed you must go, for it will be impossible for _us_ to visit him if you do not.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""You are over-scrupulous, surely.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls; though I must throw in a good word for my little Lizzy.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""I desire you will do no such thing.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"But you are always giving _her_ the preference.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""They have none of them much to recommend them,"" replied he; ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""Mr. Bennet, how _can_ you abuse your own children in such a way?",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,You take delight in vexing me.,PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"You have no compassion for my poor nerves.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""You mistake me, my dear.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,I have a high respect for your nerves.,PRIDE AND PREJUDICE
Jane Austen,Chapter 1,They are my old friends.,PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"I have heard you mention them with consideration these last twenty years at least.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""Ah, you do not know what I suffer.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""It will be no use to us, if twenty such should come, since you will not visit them.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"""Depend upon it, my dear, that when there are twenty, I will visit them all.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,_Her_ mind was less difficult to develop.,PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"She was a woman of mean understanding, little information, and uncertain temper.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,"When she was discontented, she fancied herself nervous.",PRIDE AND PREJUDICE
Jane Austen,Chapter 1,The business of her life was to get her daughters married; its solace was visiting and news.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,Mr. Bennet was among the earliest of those who waited on Mr. Bingley.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid she had no knowledge of it.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,It was then disclosed in the following manner.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with: ""I hope Mr. Bingley will like it, Lizzy.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""We are not in a way to know _what_ Mr. Bingley likes,"" said her mother resentfully, ""since we are not to visit.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""But you forget, mamma,"" said Elizabeth, ""that we shall meet him at the assemblies, and that Mrs. Long promised to introduce him.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""I do not believe Mrs. Long will do any such thing.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,She has two nieces of her own.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"She is a selfish, hypocritical woman, and I have no opinion of her.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do not depend on her serving you.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"Mrs. Bennet deigned not to make any reply, but, unable to contain herself, began scolding one of her daughters.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""Don't keep coughing so, Kitty, for Heaven's sake!",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,Have a little compassion on my nerves.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"You tear them to pieces.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""Kitty has no discretion in her coughs,"" said her father; ""she times them ill."" ""I do not cough for my own amusement,"" replied Kitty fretfully.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""When is your next ball to be, Lizzy?""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""To-morrow fortnight.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""Aye, so it is,"" cried her mother, ""and Mrs. Long does not come back till the day before; so it will be impossible for her to introduce him, for she will not know him herself.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""Impossible, Mr. Bennet, impossible, when I am not acquainted with him myself; how can you be so teasing?""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""I honour your circumspection.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,A fortnight's acquaintance is certainly very little.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,One cannot know what a man really is by the end of a fortnight.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"But if _we_ do not venture somebody else will; and after all, Mrs. Long and her neices must stand their chance; and, therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,The girls stared at their father.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"Mrs. Bennet said only, ""Nonsense, nonsense!""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""What can be the meaning of that emphatic exclamation?""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,cried he.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""Do you consider the forms of introduction, and the stress that is laid on them, as nonsense?",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,I cannot quite agree with you _there_.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"What say you, Mary?",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"For you are a young lady of deep reflection, I know, and read great books and make extracts.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"Mary wished to say something sensible, but knew not how.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""While Mary is adjusting her ideas,"" he continued, ""let us return to Mr.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"Bingley.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""I am sick of Mr. Bingley,"" cried his wife.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""I am sorry to hear _that_; but why did not you tell me that before?",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,If I had known as much this morning I certainly would not have called on him.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"It is very unlucky; but as I have actually paid the visit, we cannot escape the acquaintance now.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"The astonishment of the ladies was just what he wished; that of Mrs. Bennet perhaps surpassing the rest; though, when the first tumult of joy was over, she began to declare that it was what she had expected all the while.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""How good it was in you, my dear Mr. Bennet!",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,But I knew I should persuade you at last.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,I was sure you loved your girls too well to neglect such an acquaintance.,PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"Well, how pleased I am!",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"and it is such a good joke, too, that you should have gone this morning and never said a word about it till now.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""Now, Kitty, you may cough as much as you choose,"" said Mr. Bennet; and, as he spoke, he left the room, fatigued with the raptures of his wife.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""What an excellent father you have, girls!""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"said she, when the door was shut.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""I do not know how you will ever make him amends for his kindness; or me, either, for that matter.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"At our time of life it is not so pleasant, I can tell you, to be making new acquaintances every day; but for your sakes, we would do anything.",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"Lydia, my love, though you _are_ the youngest, I dare say Mr. Bingley will dance with you at the next ball.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"""Oh!""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"said Lydia stoutly, ""I am not afraid; for though I _am_ the youngest, I'm the tallest.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 2,"The rest of the evening was spent in conjecturing how soon he would return Mr. Bennet's visit, and determining when they should ask him to dinner.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Not all that Mrs. Bennet, however, with the assistance of her five daughters, could ask on the subject, was sufficient to draw from her husband any satisfactory description of Mr. Bingley.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"They attacked him in various ways--with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all, and they were at last obliged to accept the second-hand intelligence of their neighbour, Lady Lucas.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Her report was highly favourable.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Sir William had been delighted with him.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"He was quite young, wonderfully handsome, extremely agreeable, and, to crown the whole, he meant to be at the next assembly with a large party.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Nothing could be more delightful!,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,To be fond of dancing was a certain step towards falling in love; and very lively hopes of Mr. Bingley's heart were entertained.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"""If I can but see one of my daughters happily settled at Netherfield,"" said Mrs. Bennet to her husband, ""and all the others equally well married, I shall have nothing to wish for.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"In a few days Mr. Bingley returned Mr. Bennet's visit, and sat about ten minutes with him in his library.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"He had entertained hopes of being admitted to a sight of the young ladies, of whose beauty he had heard much; but he saw only the father.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"The ladies were somewhat more fortunate, for they had the advantage of ascertaining from an upper window that he wore a blue coat, and rode a black horse.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"An invitation to dinner was soon afterwards dispatched; and already had Mrs. Bennet planned the courses that were to do credit to her housekeeping, when an answer arrived which deferred it all.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Mr. Bingley was obliged to be in town the following day, and, consequently, unable to accept the honour of their invitation, etc.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Mrs. Bennet was quite disconcerted.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"She could not imagine what business he could have in town so soon after his arrival in Hertfordshire; and she began to fear that he might be always flying about from one place to another, and never settled at Netherfield as he ought to be.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Lady Lucas quieted her fears a little by starting the idea of his being gone to London only to get a large party for the ball; and a report soon followed that Mr. Bingley was to bring twelve ladies and seven gentlemen with him to the assembly.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"The girls grieved over such a number of ladies, but were comforted the day before the ball by hearing, that instead of twelve he brought only six with him from London--his five sisters and a cousin.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"And when the party entered the assembly room it consisted of only five altogether--Mr. Bingley, his two sisters, the husband of the eldest, and another young man.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Mr. Bingley was good-looking and gentlemanlike; he had a pleasant countenance, and easy, unaffected manners.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"His sisters were fine women, with an air of decided fashion.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, handsome features, noble mien, and the report which was in general circulation within five minutes after his entrance, of his having ten thousand a year.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his manners gave a disgust which turned the tide of his popularity; for he was discovered to be proud; to be above his company, and above being pleased; and not all his large estate in Derbyshire could then save him from having a most forbidding, disagreeable countenance, and being unworthy to be compared with his friend.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Mr. Bingley had soon made himself acquainted with all the principal people in the room; he was lively and unreserved, danced every dance, was angry that the ball closed so early, and talked of giving one himself at Netherfield.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Such amiable qualities must speak for themselves.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,What a contrast between him and his friend!,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Mr. Darcy danced only once with Mrs. Hurst and once with Miss Bingley, declined being introduced to any other lady, and spent the rest of the evening in walking about the room, speaking occasionally to one of his own party.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,His character was decided.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"He was the proudest, most disagreeable man in the world, and everybody hoped that he would never come there again.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Amongst the most violent against him was Mrs. Bennet, whose dislike of his general behaviour was sharpened into particular resentment by his having slighted one of her daughters.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit down for two dances; and during part of that time, Mr. Darcy had been standing near enough for her to hear a conversation between him and Mr. Bingley, who came from the dance for a few minutes, to press his friend to join it.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"""Come, Darcy,"" said he, ""I must have you dance.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,I hate to see you standing about by yourself in this stupid manner.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"You had much better dance.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"""I certainly shall not.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"You know how I detest it, unless I am particularly acquainted with my partner.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,At such an assembly as this it would be insupportable.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Your sisters are engaged, and there is not another woman in the room whom it would not be a punishment to me to stand up with.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"""I would not be so fastidious as you are,"" cried Mr. Bingley, ""for a kingdom!",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Upon my honour, I never met with so many pleasant girls in my life as I have this evening; and there are several of them you see uncommonly pretty.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"""_You_ are dancing with the only handsome girl in the room,"" said Mr. Darcy, looking at the eldest Miss Bennet.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"""Oh!",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,She is the most beautiful creature I ever beheld!,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"But there is one of her sisters sitting down just behind you, who is very pretty, and I dare say very agreeable.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Do let me ask my partner to introduce you.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"""Which do you mean?""",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"and turning round he looked for a moment at Elizabeth, till catching her eye, he withdrew his own and coldly said: ""She is tolerable, but not handsome enough to tempt _me_; I am in no humour at present to give consequence to young ladies who are slighted by other men.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"You had better return to your partner and enjoy her smiles, for you are wasting your time with me.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Mr. Bingley followed his advice.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Mr. Darcy walked off; and Elizabeth remained with no very cordial feelings toward him.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"She told the story, however, with great spirit among her friends; for she had a lively, playful disposition, which delighted in anything ridiculous.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,The evening altogether passed off pleasantly to the whole family.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Mrs. Bennet had seen her eldest daughter much admired by the Netherfield party.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Mr. Bingley had danced with her twice, and she had been distinguished by his sisters.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Jane was as much gratified by this as her mother could be, though in a quieter way.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Elizabeth felt Jane's pleasure.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Mary had heard herself mentioned to Miss Bingley as the most accomplished girl in the neighbourhood; and Catherine and Lydia had been fortunate enough never to be without partners, which was all that they had yet learnt to care for at a ball.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"They returned, therefore, in good spirits to Longbourn, the village where they lived, and of which they were the principal inhabitants.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,They found Mr. Bennet still up.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,With a book he was regardless of time; and on the present occasion he had a good deal of curiosity as to the event of an evening which had raised such splendid expectations.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,He had rather hoped that his wife's views on the stranger would be disappointed; but he soon found out that he had a different story to hear.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"""Oh!",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"my dear Mr. Bennet,"" as she entered the room, ""we have had a most delightful evening, a most excellent ball.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,I wish you had been there.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Jane was so admired, nothing could be like it.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Everybody said how well she looked; and Mr. Bingley thought her quite beautiful, and danced with her twice!",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Only think of _that_, my dear; he actually danced with her twice!",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,and she was the only creature in the room that he asked a second time.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"First of all, he asked Miss Lucas.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,I was so vexed to see him stand up with her!,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"But, however, he did not admire her at all; indeed, nobody can, you know; and he seemed quite struck with Jane as she was going down the dance.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"So he inquired who she was, and got introduced, and asked her for the two next.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Then the two third he danced with Miss King, and the two fourth with Maria Lucas, and the two fifth with Jane again, and the two sixth with Lizzy, and the _Boulanger_--"" ""If he had had any compassion for _me_,"" cried her husband impatiently, ""he would not have danced half so much!",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"For God's sake, say no more of his partners.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"Oh that he had sprained his ankle in the first dance!""",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"""Oh!",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"my dear, I am quite delighted with him.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,He is so excessively handsome!,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,And his sisters are charming women.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,I never in my life saw anything more elegant than their dresses.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"I dare say the lace upon Mrs. Hurst's gown--"" Here she was interrupted again.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Mr. Bennet protested against any description of finery.,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"She was therefore obliged to seek another branch of the subject, and related, with much bitterness of spirit and some exaggeration, the shocking rudeness of Mr. Darcy.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"""But I can assure you,"" she added, ""that Lizzy does not lose much by not suiting _his_ fancy; for he is a most disagreeable, horrid man, not at all worth pleasing.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,So high and so conceited that there was no enduring him!,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"He walked here, and he walked there, fancying himself so very great!",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,Not handsome enough to dance with!,PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"I wish you had been there, my dear, to have given him one of your set-downs.",PRIDE AND PREJUDICE
Jane Austen,Chapter 3,"I quite detest the man.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"When Jane and Elizabeth were alone, the former, who had been cautious in her praise of Mr. Bingley before, expressed to her sister just how very much she admired him.",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"""He is just what a young man ought to be,"" said she, ""sensible, good-humoured, lively; and I never saw such happy manners!--so much ease, with such perfect good breeding!""",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"""He is also handsome,"" replied Elizabeth, ""which a young man ought likewise to be, if he possibly can.",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"His character is thereby complete.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"""I was very much flattered by his asking me to dance a second time.",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"I did not expect such a compliment.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"""Did not you?",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,I did for you.,PRIDE AND PREJUDICE
Jane Austen,Chapter 4,But that is one great difference between us.,PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"Compliments always take _you_ by surprise, and _me_ never.",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,What could be more natural than his asking you again?,PRIDE AND PREJUDICE
Jane Austen,Chapter 4,He could not help seeing that you were about five times as pretty as every other woman in the room.,PRIDE AND PREJUDICE
Jane Austen,Chapter 4,No thanks to his gallantry for that.,PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"Well, he certainly is very agreeable, and I give you leave to like him.",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"You have liked many a stupider person.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"""Dear Lizzy!""",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"""Oh!",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"you are a great deal too apt, you know, to like people in general.",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,You never see a fault in anybody.,PRIDE AND PREJUDICE
Jane Austen,Chapter 4,All the world are good and agreeable in your eyes.,PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"I never heard you speak ill of a human being in your life.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"""I would not wish to be hasty in censuring anyone; but I always speak what I think.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"""I know you do; and it is _that_ which makes the wonder.",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"With _your_ good sense, to be so honestly blind to the follies and nonsense of others!",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,Affectation of candour is common enough--one meets with it everywhere.,PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"But to be candid without ostentation or design--to take the good of everybody's character and make it still better, and say nothing of the bad--belongs to you alone.",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"And so you like this man's sisters, too, do you?",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"Their manners are not equal to his.""",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,"""Certainly not--at first.",PRIDE AND PREJUDICE
Jane Austen,Chapter 4,But they are very pleasing women when you converse with them.,PRIDE AND PREJUDICE
