author,chapter,sentence,title
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"But she was prejudiced in Wendy's favour, and he was really the grander character of the two.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""Remember mumps,"" he warned her almost threateningly, and off he went again.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""Mumps one pound, that is what I have put down, but I daresay it will be more like thirty shillings--don't speak--measles one five, German measles half a guinea, makes two fifteen six--don't waggle your finger--whooping-cough, say fifteen shillings""--and so on it went, and it added up differently each time; but at last Wendy just got through, with mumps reduced to twelve six, and the two kinds of measles treated as one.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"There was the same excitement over John, and Michael had even a narrower squeak; but both were kept, and soon, you might have seen the three of them going in a row to Miss Fulsom's Kindergarten school, accompanied by their nurse.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling loved to have everything just so, and Mr.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling had a passion for being exactly like his neighbours; so, of course, they had a nurse.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"As they were poor, owing to the amount of milk the children drank, this nurse was a prim Newfoundland dog, called Nana, who had belonged to no one in particular until the Darlings engaged her.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"She had always thought children important, however, and the Darlings had become acquainted with her in Kensington Gardens, where she spent most of her spare time peeping into perambulators, and was much hated by careless nursemaids, whom she followed to their homes and complained of to their mistresses.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,She proved to be quite a treasure of a nurse.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"How thorough she was at bath-time, and up at any moment of the night if one of her charges made the slightest cry.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Of course her kennel was in the nursery.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,She had a genius for knowing when a cough is a thing to have no patience with and when it needs stocking around your throat.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"She believed to her last day in old-fashioned remedies like rhubarb leaf, and made sounds of contempt over all this new-fangled talk about germs, and so on.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"It was a lesson in propriety to see her escorting the children to school, walking sedately by their side when they were well behaved, and butting them back into line if they strayed.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"On John's footer [in England soccer was called football, ""footer"" for short] days she never once forgot his sweater, and she usually carried an umbrella in her mouth in case of rain.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,There is a room in the basement of Miss Fulsom's school where the nurses wait.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"They sat on forms, while Nana lay on the floor, but that was the only difference.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"They affected to ignore her as of an inferior social status to themselves, and she despised their light talk.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,She resented visits to the nursery from Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling's friends, but if they did come she first whipped off Michael's pinafore and put him into the one with blue braiding, and smoothed out Wendy and made a dash at John's hair.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"No nursery could possibly have been conducted more correctly, and Mr.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling knew it, yet he sometimes wondered uneasily whether the neighbours talked.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,He had his position in the city to consider.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Nana also troubled him in another way.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,He had sometimes a feeling that she did not admire him.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""I know she admires you tremendously, George,"" Mrs.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling would assure him, and then she would sign to the children to be specially nice to father.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Lovely dances followed, in which the only other servant, Liza, was sometimes allowed to join.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Such a midget she looked in her long skirt and maid's cap, though she had sworn, when engaged, that she would never see ten again.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,The gaiety of those romps!,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,And gayest of all was Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling, who would pirouette so wildly that all you could see of her was the kiss, and then if you had dashed at her you might have got it.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,There never was a simpler happier family until the coming of Peter Pan.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Darling first heard of Peter when she was tidying up her children's minds.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"It is the nightly custom of every good mother after her children are asleep to rummage in their minds and put things straight for next morning, repacking into their proper places the many articles that have wandered during the day.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"If you could keep awake (but of course you can't) you would see your own mother doing this, and you would find it very interesting to watch her.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,It is quite like tidying up drawers.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"You would see her on her knees, I expect, lingering humorously over some of your contents, wondering where on earth you had picked this thing up, making discoveries sweet and not so sweet, pressing this to her cheek as if it were as nice as a kitten, and hurriedly stowing that out of sight.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"When you wake in the morning, the naughtiness and evil passions with which you went to bed have been folded up small and placed at the bottom of your mind and on the top, beautifully aired, are spread out your prettier thoughts, ready for you to put on.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,I don't know whether you have ever seen a map of a person's mind.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Doctors sometimes draw maps of other parts of you, and your own map can become intensely interesting, but catch them trying to draw a map of a child's mind, which is not only confused, but keeps going round all the time.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"There are zigzag lines on it, just like your temperature on a card, and these are probably roads in the island, for the Neverland is always more or less an island, with astonishing splashes of colour here and there, and coral reefs and rakish-looking craft in the offing, and savages and lonely lairs, and gnomes who are mostly tailors, and caves through which a river runs, and princes with six elder brothers, and a hut fast going to decay, and one very small old lady with a hooked nose.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"It would be an easy map if that were all, but there is also first day at school, religion, fathers, the round pond, needle-work, murders, hangings, verbs that take the dative, chocolate pudding day, getting into braces, say ninety-nine, three-pence for pulling out your tooth yourself, and so on, and either these are part of the island or they are another map showing through, and it is all rather confusing, especially as nothing will stand still.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Of course the Neverlands vary a good deal.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"John's, for instance, had a lagoon with flamingoes flying over it at which John was shooting, while Michael, who was very small, had a flamingo with lagoons flying over it.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"John lived in a boat turned upside down on the sands, Michael in a wigwam, Wendy in a house of leaves deftly sewn together.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"John had no friends, Michael had friends at night, Wendy had a pet wolf forsaken by its parents, but on the whole the Neverlands have a family resemblance, and if they stood still in a row you could say of them that they have each other's nose, and so forth.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,On these magic shores children at play are for ever beaching their coracles [simple boat].,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"We too have been there; we can still hear the sound of the surf, though we shall land no more.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Of all delectable islands the Neverland is the snuggest and most compact, not large and sprawly, you know, with tedious distances between one adventure and another, but nicely crammed.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"When you play at it by day with the chairs and table-cloth, it is not in the least alarming, but in the two minutes before you go to sleep it becomes very real.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,That is why there are night-lights.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Occasionally in her travels through her children's minds Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling found things she could not understand, and of these quite the most perplexing was the word Peter.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"She knew of no Peter, and yet he was here and there in John and Michael's minds, while Wendy's began to be scrawled all over with him.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"The name stood out in bolder letters than any of the other words, and as Mrs.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Darling gazed she felt that it had an oddly cocky appearance.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""Yes, he is rather cocky,"" Wendy admitted with regret.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Her mother had been questioning her.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""But who is he, my pet?""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""He is Peter Pan, you know, mother.""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,At first Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling did not know, but after thinking back into her childhood she just remembered a Peter Pan who was said to live with the fairies.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"There were odd stories about him, as that when children died he went part of the way with them, so that they should not be frightened.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"She had believed in him at the time, but now that she was married and full of sense she quite doubted whether there was any such person.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""Besides,"" she said to Wendy, ""he would be grown up by this time.""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""Oh no, he isn't grown up,"" Wendy assured her confidently, ""and he is just my size.""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"She meant that he was her size in both mind and body; she didn't know how she knew, she just knew it.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Darling consulted Mr.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling, but he smiled pooh-pooh.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""Mark my words,"" he said, ""it is some nonsense Nana has been putting into their heads; just the sort of idea a dog would have.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Leave it alone, and it will blow over.""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,But it would not blow over and soon the troublesome boy gave Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Darling quite a shock.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Children have the strangest adventures without being troubled by them.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"For instance, they may remember to mention, a week after the event happened, that when they were in the wood they had met their dead father and had a game with him.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,It was in this casual way that Wendy one morning made a disquieting revelation.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Some leaves of a tree had been found on the nursery floor, which certainly were not there when the children went to bed, and Mrs.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling was puzzling over them when Wendy said with a tolerant smile: ""I do believe it is that Peter again!""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""Whatever do you mean, Wendy?""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""It is so naughty of him not to wipe his feet,"" Wendy said, sighing.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,She was a tidy child.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,She explained in quite a matter-of-fact way that she thought Peter sometimes came to the nursery in the night and sat on the foot of her bed and played on his pipes to her.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Unfortunately she never woke, so she didn't know how she knew, she just knew.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""What nonsense you talk, precious.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"No one can get into the house without knocking.""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""I think he comes in by the window,"" she said.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""My love, it is three floors up.""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""Were not the leaves at the foot of the window, mother?""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,It was quite true; the leaves had been found very near the window.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling did not know what to think, for it all seemed so natural to Wendy that you could not dismiss it by saying she had been dreaming.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""My child,"" the mother cried, ""why did you not tell me of this before?""",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"""I forgot,"" said Wendy lightly.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,She was in a hurry to get her breakfast.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Oh, surely she must have been dreaming.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"But, on the other hand, there were the leaves.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Darling examined them very carefully; they were skeleton leaves, but she was sure they did not come from any tree that grew in England.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"She crawled about the floor, peering at it with a candle for marks of a strange foot.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,She rattled the poker up the chimney and tapped the walls.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"She let down a tape from the window to the pavement, and it was a sheer drop of thirty feet, without so much as a spout to climb up by.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Certainly Wendy had been dreaming.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"But Wendy had not been dreaming, as the very next night showed, the night on which the extraordinary adventures of these children may be said to have begun.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,On the night we speak of all the children were once more in bed.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"It happened to be Nana's evening off, and Mrs.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Darling had bathed them and sung to them till one by one they had let go her hand and slid away into the land of sleep.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,All were looking so safe and cosy that she smiled at her fears now and sat down tranquilly by the fire to sew.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"It was something for Michael, who on his birthday was getting into shirts.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"The fire was warm, however, and the nursery dimly lit by three night-lights, and presently the sewing lay on Mrs.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Darling's lap.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Then her head nodded, oh, so gracefully.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,She was asleep.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"Look at the four of them, Wendy and Michael over there, John here, and Mrs.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Darling by the fire.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,There should have been a fourth night-light.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,While she slept she had a dream.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,She dreamt that the Neverland had come too near and that a strange boy had broken through from it.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"He did not alarm her, for she thought she had seen him before in the faces of many women who have no children.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Perhaps he is to be found in the faces of some mothers also.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"But in her dream he had rent the film that obscures the Neverland, and she saw Wendy and John and Michael peeping through the gap.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"The dream by itself would have been a trifle, but while she was dreaming the window of the nursery blew open, and a boy did drop on the floor.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"He was accompanied by a strange light, no bigger than your fist, which darted about the room like a living thing and I think it must have been this light that wakened Mrs.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Darling.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"She started up with a cry, and saw the boy, and somehow she knew at once that he was Peter Pan.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,If you or I or Wendy had been there we should have seen that he was very like Mrs.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,Darling's kiss.,PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"He was a lovely boy, clad in skeleton leaves and the juices that ooze out of trees but the most entrancing thing about him was that he had all his first teeth.",PETER PAN
James Matthew Barrie,Chapter 1 PETER BREAKS THROUGH,"When he saw she was a grown-up, he gnashed the little pearls at her.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,Mrs.,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"Darling screamed, and, as if in answer to a bell, the door opened, and Nana entered, returned from her evening out.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"She growled and sprang at the boy, who leapt lightly through the window.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,Again Mrs.,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"Darling screamed, this time in distress for him, for she thought he was killed, and she ran down into the street to look for his little body, but it was not there; and she looked up, and in the black night she could see nothing but what she thought was a shooting star.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"She returned to the nursery, and found Nana with something in her mouth, which proved to be the boy's shadow.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"As he leapt at the window Nana had closed it quickly, too late to catch him, but his shadow had not had time to get out; slam went the window and snapped it off.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,You may be sure Mrs.,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"Darling examined the shadow carefully, but it was quite the ordinary kind.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,Nana had no doubt of what was the best thing to do with this shadow.,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"She hung it out at the window, meaning ""He is sure to come back for it; let us put it where he can get it easily without disturbing the children.""",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,But unfortunately Mrs.,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"Darling could not leave it hanging out at the window, it looked so like the washing and lowered the whole tone of the house.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,She thought of showing it to Mr.,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"Darling, but he was totting up winter great-coats for John and Michael, with a wet towel around his head to keep his brain clear, and it seemed a shame to trouble him; besides, she knew exactly what he would say: ""It all comes of having a dog for a nurse.""",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"She decided to roll the shadow up and put it away carefully in a drawer, until a fitting opportunity came for telling her husband.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,Ah me!,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"The opportunity came a week later, on that never-to-be-forgotten Friday.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,Of course it was a Friday.,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"""I ought to have been specially careful on a Friday,"" she used to say afterwards to her husband, while perhaps Nana was on the other side of her, holding her hand.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"""No, no,"" Mr.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"Darling always said, ""I am responsible for it all.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"I, George Darling, did it.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"MEA CULPA, MEA CULPA.""",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,He had had a classical education.,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"They sat thus night after night recalling that fatal Friday, till every detail of it was stamped on their brains and came through on the other side like the faces on a bad coinage.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"""If only I had not accepted that invitation to dine at 27,"" Mrs.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,Darling said.,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"""If only I had not poured my medicine into Nana's bowl,"" said Mr.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,Darling.,PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"""If only I had pretended to like the medicine,"" was what Nana's wet eyes said.",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"""My liking for parties, George.""",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"""My fatal gift of humour, dearest.""",PETER PAN
James Matthew Barrie,Chapter 2 THE SHADOW,"""My touchiness about trifles, dear master and mistress.""",PETER PAN
