chapter,sentence,title
Chapter 1. Marseilles—The Arrival,"But poor Captain Leclere——” “What happened to him?” asked the owner, with an air of considerable resignation.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“What happened to the worthy captain?” “He died.” “Fell into the sea?” “No, sir, he died of brain-fever in dreadful agony.” Then turning to the crew, he said, “Bear a hand there, to take in sail!” All hands obeyed, and at once the eight or ten seamen who composed the crew, sprang to their respective stations at the spanker brails and outhaul, topsail sheets and halyards, the jib downhaul, and the topsail clewlines and buntlines.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"The young sailor gave a look to see that his orders were promptly and accurately obeyed, and then turned again to the owner.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“And how did this misfortune occur?” inquired the latter, resuming the interrupted conversation.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"0023m “Alas, sir, in the most unexpected manner.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"After a long talk with the harbor-master, Captain Leclere left Naples greatly disturbed in mind.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"In twenty-four hours he was attacked by a fever, and died three days afterwards.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"We performed the usual burial service, and he is at his rest, sewn up in his hammock with a thirty-six-pound shot at his head and his heels, off El Giglio island.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,We bring to his widow his sword and cross of honor.,THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"It was worth while, truly,” added the young man with a melancholy smile, “to make war against the English for ten years, and to die in his bed at last, like everybody else.” “Why, you see, Edmond,” replied the owner, who appeared more comforted at every moment, “we are all mortal, and the old must make way for the young.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"If not, why, there would be no promotion; and since you assure me that the cargo——” “Is all safe and sound, M. Morrel, take my word for it; and I advise you not to take 25,000 francs for the profits of the voyage.” Then, as they were just passing the Round Tower, the young man shouted: “Stand by there to lower the topsails and jib; brail up the spanker!” The order was executed as promptly as it would have been on board a man- of-war.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Let go—and clue up!” At this last command all the sails were lowered, and the vessel moved almost imperceptibly onwards.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Now, if you will come on board, M. Morrel,” said Dantès, observing the owner’s impatience, “here is your supercargo, M. Danglars, coming out of his cabin, who will furnish you with every particular.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"As for me, I must look after the anchoring, and dress the ship in mourning.” The owner did not wait for a second invitation.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"He seized a rope which Dantès flung to him, and with an activity that would have done credit to a sailor, climbed up the side of the ship, while the young man, going to his task, left the conversation to Danglars, who now came towards the owner.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"He was a man of twenty-five or twenty-six years of age, of unprepossessing countenance, obsequious to his superiors, insolent to his subordinates; and this, in addition to his position as responsible agent on board, which is always obnoxious to the sailors, made him as much disliked by the crew as Edmond Dantès was beloved by them.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Well, M. Morrel,” said Danglars, “you have heard of the misfortune that has befallen us?” “Yes—yes: poor Captain Leclere!",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"He was a brave and an honest man.” “And a first-rate seaman, one who had seen long and honorable service, as became a man charged with the interests of a house so important as that of Morrel & Son,” replied Danglars.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“But,” replied the owner, glancing after Dantès, who was watching the anchoring of his vessel, “it seems to me that a sailor needs not be so old as you say, Danglars, to understand his business, for our friend Edmond seems to understand it thoroughly, and not to require instruction from anyone.” “Yes,” said Danglars, darting at Edmond a look gleaming with hate.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Yes, he is young, and youth is invariably self-confident.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Scarcely was the captain’s breath out of his body when he assumed the command without consulting anyone, and he caused us to lose a day and a half at the Island of Elba, instead of making for Marseilles direct.” 0025m “As to taking command of the vessel,” replied Morrel, “that was his duty as captain’s mate; as to losing a day and a half off the Island of Elba, he was wrong, unless the vessel needed repairs.” “The vessel was in as good condition as I am, and as, I hope you are, M. Morrel, and this day and a half was lost from pure whim, for the pleasure of going ashore, and nothing else.” “Dantès,” said the shipowner, turning towards the young man, “come this way!” “In a moment, sir,” answered Dantès, “and I’m with you.” Then calling to the crew, he said, “Let go!” The anchor was instantly dropped, and the chain ran rattling through the port-hole.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Dantès continued at his post in spite of the presence of the pilot, until this manœuvre was completed, and then he added, “Half-mast the colors, and square the yards!” “You see,” said Danglars, “he fancies himself captain already, upon my word.” “And so, in fact, he is,” said the owner.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Except your signature and your partner’s, M. Morrel.” “And why should he not have this?” asked the owner; “he is young, it is true, but he seems to me a thorough seaman, and of full experience.” A cloud passed over Danglars’ brow.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Your pardon, M. Morrel,” said Dantès, approaching, “the vessel now rides at anchor, and I am at your service.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"You hailed me, I think?” Danglars retreated a step or two.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“I wished to inquire why you stopped at the Island of Elba?” “I do not know, sir; it was to fulfil the last instructions of Captain Leclere, who, when dying, gave me a packet for Marshal Bertrand.” “Then did you see him, Edmond?” “Who?” “The marshal.” “Yes.” Morrel looked around him, and then, drawing Dantès on one side, he said suddenly— “And how is the emperor?” “Very well, as far as I could judge from the sight of him.” “You saw the emperor, then?” “He entered the marshal’s apartment while I was there.” “And you spoke to him?” “Why, it was he who spoke to me, sir,” said Dantès, with a smile.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“And what did he say to you?” “Asked me questions about the vessel, the time she left Marseilles, the course she had taken, and what was her cargo.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"I believe, if she had not been laden, and I had been her master, he would have bought her.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"But I told him I was only mate, and that she belonged to the firm of Morrel & Son.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"‘Ah, yes,’ he said, ‘I know them.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,The Morrels have been shipowners from father to son; and there was a Morrel who served in the same regiment with me when I was in garrison at Valence.’” “Pardieu!,THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"and that is true!” cried the owner, greatly delighted.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“And that was Policar Morrel, my uncle, who was afterwards a captain.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Dantès, you must tell my uncle that the emperor remembered him, and you will see it will bring tears into the old soldier’s eyes.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Come, come,” continued he, patting Edmond’s shoulder kindly, “you did very right, Dantès, to follow Captain Leclere’s instructions, and touch at Elba, although if it were known that you had conveyed a packet to the marshal, and had conversed with the emperor, it might bring you into trouble.” 0027m “How could that bring me into trouble, sir?” asked Dantès; “for I did not even know of what I was the bearer; and the emperor merely made such inquiries as he would of the first comer.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"But, pardon me, here are the health officers and the customs inspectors coming alongside.” And the young man went to the gangway.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"As he departed, Danglars approached, and said,— “Well, it appears that he has given you satisfactory reasons for his landing at Porto-Ferrajo?” “Yes, most satisfactory, my dear Danglars.” “Well, so much the better,” said the supercargo; “for it is not pleasant to think that a comrade has not done his duty.” “Dantès has done his,” replied the owner, “and that is not saying much.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"It was Captain Leclere who gave orders for this delay.” “Talking of Captain Leclere, has not Dantès given you a letter from him?” “To me?—no—was there one?” “I believe that, besides the packet, Captain Leclere confided a letter to his care.” “Of what packet are you speaking, Danglars?” “Why, that which Dantès left at Porto-Ferrajo.” “How do you know he had a packet to leave at Porto-Ferrajo?” Danglars turned very red.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“I was passing close to the door of the captain’s cabin, which was half open, and I saw him give the packet and letter to Dantès.” “He did not speak to me of it,” replied the shipowner; “but if there be any letter he will give it to me.” Danglars reflected for a moment.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Then, M. Morrel, I beg of you,” said he, “not to say a word to Dantès on the subject.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,I may have been mistaken.” At this moment the young man returned; Danglars withdrew.,THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Well, my dear Dantès, are you now free?” inquired the owner.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Yes, sir.” “You have not been long detained.” “No.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"I gave the custom-house officers a copy of our bill of lading; and as to the other papers, they sent a man off with the pilot, to whom I gave them.” “Then you have nothing more to do here?” “No—everything is all right now.” “Then you can come and dine with me?” “I really must ask you to excuse me, M. Morrel.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"My first visit is due to my father, though I am not the less grateful for the honor you have done me.” 0029m “Right, Dantès, quite right.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"I always knew you were a good son.” “And,” inquired Dantès, with some hesitation, “do you know how my father is?” “Well, I believe, my dear Edmond, though I have not seen him lately.” “Yes, he likes to keep himself shut up in his little room.” “That proves, at least, that he has wanted for nothing during your absence.” Dantès smiled.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“My father is proud, sir, and if he had not a meal left, I doubt if he would have asked anything from anyone, except from Heaven.” “Well, then, after this first visit has been made we shall count on you.” “I must again excuse myself, M. Morrel, for after this first visit has been paid I have another which I am most anxious to pay.” “True, Dantès, I forgot that there was at the Catalans someone who expects you no less impatiently than your father—the lovely Mercédès.” Dantès blushed.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Ah, ha,” said the shipowner, “I am not in the least surprised, for she has been to me three times, inquiring if there were any news of the Pharaon.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,Peste!,THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Edmond, you have a very handsome mistress!” “She is not my mistress,” replied the young sailor, gravely; “she is my betrothed.” “Sometimes one and the same thing,” said Morrel, with a smile.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Not with us, sir,” replied Dantès.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"“Well, well, my dear Edmond,” continued the owner, “don’t let me detain you.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,You have managed my affairs so well that I ought to allow you all the time you require for your own.,THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Do you want any money?” “No, sir; I have all my pay to take—nearly three months’ wages.” “You are a careful fellow, Edmond.” “Say I have a poor father, sir.” “Yes, yes, I know how good a son you are, so now hasten away to see your father.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"I have a son too, and I should be very wroth with those who detained him from me after a three months’ voyage.” “Then I have your leave, sir?” “Yes, if you have nothing more to say to me.” “Nothing.” “Captain Leclere did not, before he died, give you a letter for me?” “He was unable to write, sir.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"But that reminds me that I must ask your leave of absence for some days.” “To get married?” “Yes, first, and then to go to Paris.” “Very good; have what time you require, Dantès.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"It will take quite six weeks to unload the cargo, and we cannot get you ready for sea until three months after that; only be back again in three months, for the Pharaon,” added the owner, patting the young sailor on the back, “cannot sail without her captain.” “Without her captain!” cried Dantès, his eyes sparkling with animation; “pray mind what you say, for you are touching on the most secret wishes of my heart.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Is it really your intention to make me captain of the Pharaon?” “If I were sole owner we’d shake hands on it now, my dear Dantès, and call it settled; but I have a partner, and you know the Italian proverb—Chi ha compagno ha padrone—‘He who has a partner has a master.’ But the thing is at least half done, as you have one out of two votes.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Rely on me to procure you the other; I will do my best.” “Ah, M. Morrel,” exclaimed the young seaman, with tears in his eyes, and grasping the owner’s hand, “M.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Morrel, I thank you in the name of my father and of Mercédès.” “That’s all right, Edmond.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,There’s a providence that watches over the deserving.,THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Go to your father; go and see Mercédès, and afterwards come to me.” “Shall I row you ashore?” “No, thank you; I shall remain and look over the accounts with Danglars.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Have you been satisfied with him this voyage?” “That is according to the sense you attach to the question, sir.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,Do you mean is he a good comrade?,THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"No, for I think he never liked me since the day when I was silly enough, after a little quarrel we had, to propose to him to stop for ten minutes at the island of Monte Cristo to settle the dispute—a proposition which I was wrong to suggest, and he quite right to refuse.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"If you mean as responsible agent when you ask me the question, I believe there is nothing to say against him, and that you will be content with the way in which he has performed his duty.” “But tell me, Dantès, if you had command of the Pharaon should you be glad to see Danglars remain?” “Captain or mate, M. Morrel, I shall always have the greatest respect for those who possess the owners’ confidence.” “That’s right, that’s right, Dantès!",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"I see you are a thoroughly good fellow, and will detain you no longer.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Go, for I see how impatient you are.” “Then I have leave?” “Go, I tell you.” “May I have the use of your skiff?” “Certainly.” “Then, for the present, M. Morrel, farewell, and a thousand thanks!” “I hope soon to see you again, my dear Edmond.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"Good luck to you.” The young sailor jumped into the skiff, and sat down in the stern sheets, with the order that he be put ashore at La Canebière.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"The two oarsmen bent to their work, and the little boat glided away as rapidly as possible in the midst of the thousand vessels which choke up the narrow way which leads between the two rows of ships from the mouth of the harbor to the Quai d’Orléans.",THE COUNT OF MONTE CRISTO
Chapter 1. Marseilles—The Arrival,"The shipowner, smiling, followed him with his eyes until he saw him spring out on the quay and disappear in the midst of the throng, which from five o’clock in the morning until nine o’clock at night, swarms in the famous street of La Canebière,—a street of which the modern Phocéens are so proud that they say with all the gravity in the world, and with that accent which gives so much character to what is said, “If Paris had La Canebière, Paris would be a second Marseilles.” On turning round the owner saw Danglars behind him, apparently awaiting orders, but in reality also watching the young sailor,—but there was a great difference in the expression of the two men who thus followed the movements of Edmond Dantès.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"We will leave Danglars struggling with the demon of hatred, and endeavoring to insinuate in the ear of the shipowner some evil suspicions against his comrade, and follow Dantès, who, after having traversed La Canebière, took the Rue de Noailles, and entering a small house, on the left of the Allées de Meilhan, rapidly ascended four flights of a dark staircase, holding the baluster with one hand, while with the other he repressed the beatings of his heart, and paused before a half-open door, from which he could see the whole of a small room.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,This room was occupied by Dantès’ father.,THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"The news of the arrival of the Pharaon had not yet reached the old man, who, mounted on a chair, was amusing himself by training with trembling hand the nasturtiums and sprays of clematis that clambered over the trellis at his window.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Suddenly, he felt an arm thrown around his body, and a well-known voice behind him exclaimed, “Father—dear father!” The old man uttered a cry, and turned round; then, seeing his son, he fell into his arms, pale and trembling.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“What ails you, my dearest father?",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Are you ill?” inquired the young man, much alarmed.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“No, no, my dear Edmond—my boy—my son!—no; but I did not expect you; and joy, the surprise of seeing you so suddenly—Ah, I feel as if I were going to die.” “Come, come, cheer up, my dear father!",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,’Tis I—really I!,THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"They say joy never hurts, and so I came to you without any warning.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Come now, do smile, instead of looking at me so solemnly.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Here I am back again, and we are going to be happy.” “Yes, yes, my boy, so we will—so we will,” replied the old man; “but how shall we be happy?",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,Shall you never leave me again?,THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Come, tell me all the good fortune that has befallen you.” “God forgive me,” said the young man, “for rejoicing at happiness derived from the misery of others, but, Heaven knows, I did not seek this good fortune; it has happened, and I really cannot pretend to lament it.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"The good Captain Leclere is dead, father, and it is probable that, with the aid of M. Morrel, I shall have his place.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Do you understand, father?",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Only imagine me a captain at twenty, with a hundred louis pay, and a share in the profits!",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Is this not more than a poor sailor like me could have hoped for?” “Yes, my dear boy,” replied the old man, “it is very fortunate.” “Well, then, with the first money I touch, I mean you to have a small house, with a garden in which to plant clematis, nasturtiums, and honeysuckle.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"But what ails you, father?",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Are you not well?” “’Tis nothing, nothing; it will soon pass away”—and as he said so the old man’s strength failed him, and he fell backwards.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“Come, come,” said the young man, “a glass of wine, father, will revive you.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Where do you keep your wine?” “No, no; thanks.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"You need not look for it; I do not want it,” said the old man.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“Yes, yes, father, tell me where it is,” and he opened two or three cupboards.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“It is no use,” said the old man, “there is no wine.” “What, no wine?” said Dantès, turning pale, and looking alternately at the hollow cheeks of the old man and the empty cupboards.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“What, no wine?",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Have you wanted money, father?” “I want nothing now that I have you,” said the old man.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“Yet,” stammered Dantès, wiping the perspiration from his brow,—“yet I gave you two hundred francs when I left, three months ago.” “Yes, yes, Edmond, that is true, but you forgot at that time a little debt to our neighbor, Caderousse.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"He reminded me of it, telling me if I did not pay for you, he would be paid by M. Morrel; and so, you see, lest he might do you an injury——” “Well?” “Why, I paid him.” “But,” cried Dantès, “it was a hundred and forty francs I owed Caderousse.” “Yes,” stammered the old man.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,“And you paid him out of the two hundred francs I left you?” The old man nodded.,THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“So that you have lived for three months on sixty francs,” muttered Edmond.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“You know how little I require,” said the old man.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“Heaven pardon me,” cried Edmond, falling on his knees before his father.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“What are you doing?” “You have wounded me to the heart.” “Never mind it, for I see you once more,” said the old man; “and now it’s all over—everything is all right again.” 0035m “Yes, here I am,” said the young man, “with a promising future and a little money.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Here, father, here!” he said, “take this—take it, and send for something immediately.” And he emptied his pockets on the table, the contents consisting of a dozen gold pieces, five or six five-franc pieces, and some smaller coin.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,The countenance of old Dantès brightened.,THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,“Whom does this belong to?” he inquired.,THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“To me, to you, to us!",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Take it; buy some provisions; be happy, and tomorrow we shall have more.” “Gently, gently,” said the old man, with a smile; “and by your leave I will use your purse moderately, for they would say, if they saw me buy too many things at a time, that I had been obliged to await your return, in order to be able to purchase them.” “Do as you please; but, first of all, pray have a servant, father.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,I will not have you left alone so long.,THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"I have some smuggled coffee and most capital tobacco, in a small chest in the hold, which you shall have tomorrow.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"But, hush, here comes somebody.” “’Tis Caderousse, who has heard of your arrival, and no doubt comes to congratulate you on your fortunate return.” “Ah, lips that say one thing, while the heart thinks another,” murmured Edmond.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“But, never mind, he is a neighbor who has done us a service on a time, so he’s welcome.” As Edmond paused, the black and bearded head of Caderousse appeared at the door.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"He was a man of twenty-five or six, and held a piece of cloth, which, being a tailor, he was about to make into a coat-lining.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“What, is it you, Edmond, back again?” said he, with a broad Marseillaise accent, and a grin that displayed his ivory-white teeth.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“Yes, as you see, neighbor Caderousse; and ready to be agreeable to you in any and every way,” replied Dantès, but ill-concealing his coldness under this cloak of civility.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“Thanks—thanks; but, fortunately, I do not want for anything; and it chances that at times there are others who have need of me.” Dantès made a gesture.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“I do not allude to you, my boy.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,No!—no!,THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"I lent you money, and you returned it; that’s like good neighbors, and we are quits.” “We are never quits with those who oblige us,” was Dantès’ reply; “for when we do not owe them money, we owe them gratitude.” “What’s the use of mentioning that?",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,What is done is done.,THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"Let us talk of your happy return, my boy.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"I had gone on the quay to match a piece of mulberry cloth, when I met friend Danglars.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"‘You at Marseilles?’—‘Yes,’ says he.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“‘I thought you were at Smyrna.’—‘I was; but am now back again.’ “‘And where is the dear boy, our little Edmond?’ “‘Why, with his father, no doubt,’ replied Danglars.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"And so I came,” added Caderousse, “as fast as I could to have the pleasure of shaking hands with a friend.” 0037m “Worthy Caderousse!” said the old man, “he is so much attached to us.” “Yes, to be sure I am.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"I love and esteem you, because honest folks are so rare.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"But it seems you have come back rich, my boy,” continued the tailor, looking askance at the handful of gold and silver which Dantès had thrown on the table.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,The young man remarked the greedy glance which shone in the dark eyes of his neighbor.,THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"“Eh,” he said, negligently, “this money is not mine.",THE COUNT OF MONTE CRISTO
Chapter 2. Father and Son,"I was expressing to my father my fears that he had wanted many things in my absence, and to convince me he emptied his purse on the table.",THE COUNT OF MONTE CRISTO
